level1_name,level1_id,level2_name,level2_id,level3_name,level3_id,level4_name,level4_id,cat
Arts & Entertainment,4d4b7104d754a06370d81259,Amphitheaters,56aa371be4b08b9a8d5734db,-,-,-,-,Amphitheaters
Arts & Entertainment,4d4b7104d754a06370d81259,Aquariums,4fceea171983d5d06c3e9823,-,-,-,-,Aquariums
Arts & Entertainment,4d4b7104d754a06370d81259,Arcades,4bf58dd8d48988d1e1931735,-,-,-,-,Arcades
Arts & Entertainment,4d4b7104d754a06370d81259,Art Galleries,4bf58dd8d48988d1e2931735,-,-,-,-,Art Galleries
Arts & Entertainment,4d4b7104d754a06370d81259,Bowling Alleys,4bf58dd8d48988d1e4931735,-,-,-,-,Bowling Alleys
Arts & Entertainment,4d4b7104d754a06370d81259,Casinos,4bf58dd8d48988d17c941735,-,-,-,-,Casinos
Arts & Entertainment,4d4b7104d754a06370d81259,Circuses,52e81612bcbc57f1066b79e7,-,-,-,-,Circuses
Arts & Entertainment,4d4b7104d754a06370d81259,Comedy Clubs,4bf58dd8d48988d18e941735,-,-,-,-,Comedy Clubs
Arts & Entertainment,4d4b7104d754a06370d81259,Concert Halls,5032792091d4c4b30a586d5c,-,-,-,-,Concert Halls
Arts & Entertainment,4d4b7104d754a06370d81259,Country Dance Clubs,52e81612bcbc57f1066b79ef,-,-,-,-,Country Dance Clubs
Arts & Entertainment,4d4b7104d754a06370d81259,Disc Golf Courses,52e81612bcbc57f1066b79e8,-,-,-,-,Disc Golf Courses
Arts & Entertainment,4d4b7104d754a06370d81259,Exhibits,56aa371be4b08b9a8d573532,-,-,-,-,Exhibits
Arts & Entertainment,4d4b7104d754a06370d81259,General Entertainment,4bf58dd8d48988d1f1931735,-,-,-,-,General Entertainment
Arts & Entertainment,4d4b7104d754a06370d81259,Go Kart Tracks,52e81612bcbc57f1066b79ea,-,-,-,-,Go Kart Tracks
Arts & Entertainment,4d4b7104d754a06370d81259,Historic Sites,4deefb944765f83613cdba6e,-,-,-,-,Historic Sites
Arts & Entertainment,4d4b7104d754a06370d81259,Laser Tag Places,52e81612bcbc57f1066b79e6,-,-,-,-,Laser Tag Places
Arts & Entertainment,4d4b7104d754a06370d81259,Memorial Sites,5642206c498e4bfca532186c,-,-,-,-,Memorial Sites
Arts & Entertainment,4d4b7104d754a06370d81259,Mini Golf Courses,52e81612bcbc57f1066b79eb,-,-,-,-,Mini Golf Courses
Arts & Entertainment,4d4b7104d754a06370d81259,Movie Theaters,4bf58dd8d48988d17f941735,Drive-in Theaters,56aa371be4b08b9a8d5734de,-,-,Drive-in Theaters
Arts & Entertainment,4d4b7104d754a06370d81259,Movie Theaters,4bf58dd8d48988d17f941735,Indie Movie Theaters,4bf58dd8d48988d17e941735,-,-,Indie Movie Theaters
Arts & Entertainment,4d4b7104d754a06370d81259,Movie Theaters,4bf58dd8d48988d17f941735,Multiplexes,4bf58dd8d48988d180941735,-,-,Multiplexes
Arts & Entertainment,4d4b7104d754a06370d81259,Movie Theaters,4bf58dd8d48988d17f941735,-,-,-,-,Movie Theaters
Arts & Entertainment,4d4b7104d754a06370d81259,Museums,4bf58dd8d48988d181941735,Art Museums,4bf58dd8d48988d18f941735,-,-,Art Museums
Arts & Entertainment,4d4b7104d754a06370d81259,Museums,4bf58dd8d48988d181941735,Erotic Museums,559acbe0498e472f1a53fa23,-,-,Erotic Museums
Arts & Entertainment,4d4b7104d754a06370d81259,Museums,4bf58dd8d48988d181941735,History Museums,4bf58dd8d48988d190941735,-,-,History Museums
Arts & Entertainment,4d4b7104d754a06370d81259,Museums,4bf58dd8d48988d181941735,Planetariums,4bf58dd8d48988d192941735,-,-,Planetariums
Arts & Entertainment,4d4b7104d754a06370d81259,Museums,4bf58dd8d48988d181941735,Science Museums,4bf58dd8d48988d191941735,-,-,Science Museums
Arts & Entertainment,4d4b7104d754a06370d81259,Museums,4bf58dd8d48988d181941735,-,-,-,-,Museums
Arts & Entertainment,4d4b7104d754a06370d81259,Music Venues,4bf58dd8d48988d1e5931735,Jazz Clubs,4bf58dd8d48988d1e7931735,-,-,Jazz Clubs
Arts & Entertainment,4d4b7104d754a06370d81259,Music Venues,4bf58dd8d48988d1e5931735,Piano Bars,4bf58dd8d48988d1e8931735,-,-,Piano Bars
Arts & Entertainment,4d4b7104d754a06370d81259,Music Venues,4bf58dd8d48988d1e5931735,Rock Clubs,4bf58dd8d48988d1e9931735,-,-,Rock Clubs
Arts & Entertainment,4d4b7104d754a06370d81259,Music Venues,4bf58dd8d48988d1e5931735,-,-,-,-,Music Venues
Arts & Entertainment,4d4b7104d754a06370d81259,Performing Arts Venues,4bf58dd8d48988d1f2931735,Dance Studios,4bf58dd8d48988d134941735,-,-,Dance Studios
Arts & Entertainment,4d4b7104d754a06370d81259,Performing Arts Venues,4bf58dd8d48988d1f2931735,Indie Theaters,4bf58dd8d48988d135941735,-,-,Indie Theaters
Arts & Entertainment,4d4b7104d754a06370d81259,Performing Arts Venues,4bf58dd8d48988d1f2931735,Opera Houses,4bf58dd8d48988d136941735,-,-,Opera Houses
Arts & Entertainment,4d4b7104d754a06370d81259,Performing Arts Venues,4bf58dd8d48988d1f2931735,Theaters,4bf58dd8d48988d137941735,-,-,Theaters
Arts & Entertainment,4d4b7104d754a06370d81259,Performing Arts Venues,4bf58dd8d48988d1f2931735,-,-,-,-,Performing Arts Venues
Arts & Entertainment,4d4b7104d754a06370d81259,Pool Halls,4bf58dd8d48988d1e3931735,-,-,-,-,Pool Halls
Arts & Entertainment,4d4b7104d754a06370d81259,Public Art,507c8c4091d498d9fc8c67a9,Outdoor Sculptures,52e81612bcbc57f1066b79ed,-,-,Outdoor Sculptures
Arts & Entertainment,4d4b7104d754a06370d81259,Public Art,507c8c4091d498d9fc8c67a9,Street Art Installations,52e81612bcbc57f1066b79ee,-,-,Street Art Installations
Arts & Entertainment,4d4b7104d754a06370d81259,Public Art,507c8c4091d498d9fc8c67a9,-,-,-,-,Public Art
Arts & Entertainment,4d4b7104d754a06370d81259,Racecourses,56aa371be4b08b9a8d573514,-,-,-,-,Racecourses
Arts & Entertainment,4d4b7104d754a06370d81259,Racetracks,4bf58dd8d48988d1f4931735,-,-,-,-,Racetracks
